Ticker,Name,Price,MarketCap,Volume,Sector,Category
RELIANCE.NS,RELIANCE INDUSTRIES LTD,1317.0,17822266687488,14395523,Energy,Large-Cap
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,1939.1,12097381466112,7804605,Communication Services,Large-Cap
HDFCBANK.NS,HDFC BANK LTD,725.0,11171721641984,35120968,Financial Services,Large-Cap
ICICIBANK.NS,ICICI BANK LTD.,1406.8,10091366449152,14536264,Financial Services,Large-Cap
SBIN.NS,STATE BANK OF INDIA,1083.0,9996758679552,12849463,Financial Services,Large-Cap
TCS.NS,TATA CONSULTANCY SERV LT,2375.0,8592957636608,5073002,Technology,Large-Cap
LT.NS,LARSEN & TOUBRO LTD.,4070.7,5600738017280,1991000,Industrials,Large-Cap
HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,2092.0,4915345227776,1940345,Consumer Defensive,Large-Cap
INFY.NS,INFOSYS LIMITED,1175.0,4758895067136,14995641,Technology,Large-Cap
ITC.NS,ITC LTD,278.5,3489456979968,15995744,Consumer Defensive,Large-Cap
POLYCAB.NS,POLYCAB INDIA LIMITED,9297.0,1400454119424,328655,Industrials,Large-Cap
PERSISTENT.NS,PERSISTENT SYSTEMS LTD,5523.0,862864015360,776750,Technology,Large-Cap
COFORGE.NS,COFORGE LIMITED,1829.0,809681485824,3532409,Technology,Large-Cap
NATIONALUM.NS,NATIONAL ALUMINIUM CO LTD,400.5,735571017728,11406360,Basic Materials,Large-Cap
GICRE.NS,GENERAL INS CORP OF INDIA,348.2,610882093056,1070698,Financial Services,Large-Cap
APOLLOTYRE.NS,APOLLO TYRES LTD,443.05,280265129984,1303394,Consumer Cyclical,Large-Cap
SOUTHBANK.NS,THE SOUTH INDIAN BANK LTD,45.66,119546380288,17262542,Financial Services,Mid-Cap
BATAINDIA.NS,BATA INDIA LTD,727.65,93523066880,553322,Consumer Cyclical,Mid-Cap
RCF.NS,RASHTRIYA CHEMICALS & FER,124.47,68668620800,1840201,Basic Materials,Mid-Cap
DCBBANK.NS,DCB BANK LIMITED,187.1,60260691968,1178124,Financial Services,Mid-Cap
NFL.NS,NATIONAL FERT. LTD,72.3,35468820480,1024646,Basic Materials,Small-Cap
PANAMAPET.NS,PANAMA PETROCHEM LTD,488.2,29532977152,965464,Energy,Small-Cap
SPIC.NS,SPIC LTD,67.85,13816996864,545054,Basic Materials,Small-Cap
